,Unnamed: 0,age,sex,education,marriage,occupation,language,ID
0,0,29,0.0,1.0,1.0,2.0,0.0,LLM001
1,1,38,0.0,1.0,2.0,2.0,1.0,LLM002
2,2,38,0.0,1.0,0.0,3.0,,LLM003
3,3,23,1.0,0.0,0.0,3.0,,LLM004
4,4,33,0.0,1.0,1.0,2.0,,LLM005
5,5,36,1.0,1.0,0.0,2.0,,LLM006
6,6,,,,,,,LLM007
7,7,34,1.0,1.0,1.0,2.0,,LLM008
8,8,,0.0,1.0,1.0,2.0,,LLM009
9,9,,,,,,,LLM010
10,10,36,0.0,1.0,1.0,2.0,,LLM011
11,11,36,1.0,0.0,0.0,2.0,,LLM012
12,12,30,0.0,1.0,1.0,2.0,0.0,LLM013
13,13,26,0.0,1.0,1.0,2.0,,LLM014
14,14,24,1.0,0.0,0.0,3.0,0.0,LLM015
15,15,41,0.0,1.0,2.0,3.0,0.0,LLM016
16,16,33,1.0,1.0,1.0,2.0,,LLM017
17,17,35,0.0,1.0,2.0,1.0,,LLM018
18,18,32,1.0,1.0,1.0,2.0,,LLM019
19,19,,,,,,,LLM020
20,20,,,,,,,LLM021
21,21,37,,1.0,0.0,2.0,0.0,LLM022
22,22,34,1.0,1.0,1.0,2.0,,LLM023
23,23,27,0.0,1.0,0.0,2.0,,LLM024
24,24,35,0.0,1.0,0.0,2.0,,LLM025
25,25,31,0.0,1.0,1.0,2.0,,LLM026
26,26,30,1.0,1.0,1.0,2.0,,LLM027
27,27,25,0.0,1.0,1.0,2.0,,LLM028
28,28,34,1.0,1.0,1.0,2.0,,LLM029
29,29,30,1.0,1.0,0.0,2.0,0.0,LLM030
30,30,27,0.0,1.0,1.0,2.0,,LLM031
31,31,31,0.0,1.0,1.0,2.0,,LLM032
32,32,30,1.0,1.0,1.0,2.0,,LLM033
33,33,30,1.0,1.0,0.0,2.0,,LLM034
34,34,35,0.0,1.0,1.0,2.0,,LLM035
35,35,34,1.0,1.0,1.0,2.0,,LLM036
36,36,29,1.0,1.0,0.0,2.0,,LLM037
37,37,36,0.0,1.0,0.0,2.0,,LLM038
38,38,25,1.0,1.0,0.0,2.0,,LLM039
39,39,26,1.0,1.0,0.0,2.0,,LLM040
40,40,41,0.0,1.0,2.0,0.0,,LLM041
41,41,28,1.0,1.0,0.0,2.0,,LLM042
42,42,29,1.0,1.0,0.0,2.0,,LLM043
43,43,36,1.0,3.0,1.0,2.0,,LLM044
44,44,30,1.0,1.0,0.0,2.0,,LLM045
45,45,33,1.0,1.0,1.0,2.0,,LLM046
46,46,35,0.0,1.0,1.0,2.0,,LLM047
