,participant,valence_text,arousal_text,focus_text,dominance_text,arousal_break,text_order
0,LLM022,221,100,-63.0,-219.0,-63.0,51
1,LLM022,66,-169,-147.0,-173.0,-147.0,86
2,LLM022,40,-196,-89.0,-177.0,-89.0,139
3,LLM022,-184,80,-61.0,217.0,-61.0,145
4,LLM022,-70,47,-91.0,119.0,-91.0,149
5,LLM022,-217,114,-67.0,-149.0,-67.0,127
6,LLM022,124,117,-113.0,-100.0,-113.0,117
7,LLM022,217,123,-149.0,-161.0,-10.0,101
8,LLM022,-214,140,-221.0,-114.0,-221.0,148
9,LLM022,214,131,-83.0,-217.0,-83.0,20
10,LLM022,-97,97,-120.0,119.0,-120.0,48
11,LLM022,213,143,-160.0,-196.0,-160.0,54
12,LLM022,-99,101,-86.0,119.0,-126.0,12
13,LLM022,-26,214,-220.0,56.0,-220.0,155
14,LLM022,216,199,-203.0,-206.0,-203.0,135
15,LLM022,-37,39,-90.0,126.0,-90.0,62
16,LLM022,130,94,-97.0,-99.0,-97.0,105
17,LLM022,66,-81,-99.0,-96.0,-117.0,16
18,LLM022,76,-80,-110.0,-103.0,-110.0,77
19,LLM022,-89,77,-100.0,-104.0,-100.0,156
20,LLM022,169,151,-136.0,-119.0,-136.0,9
21,LLM022,220,149,-103.0,-229.0,-103.0,173
22,LLM022,-36,-33,-217.0,201.0,-217.0,11
23,LLM022,-29,31,-100.0,106.0,-100.0,10
24,LLM022,-47,60,-40.0,49.0,-40.0,75
25,LLM022,-47,56,-86.0,71.0,-86.0,159
26,LLM022,140,119,-123.0,-119.0,151.0,59
27,LLM022,233,183,-103.0,-123.0,0.0,115
28,LLM022,66,184,-196.0,-193.0,-196.0,110
29,LLM022,186,199,-173.0,-177.0,-173.0,103
30,LLM022,-137,103,-190.0,194.0,-190.0,123
31,LLM022,-74,66,-80.0,76.0,-80.0,15
32,LLM022,-193,109,-90.0,166.0,-90.0,140
33,LLM022,-230,151,-96.0,214.0,-96.0,97
34,LLM022,-97,91,-97.0,116.0,129.0,161
35,LLM022,149,147,-150.0,-146.0,-150.0,27
36,LLM022,-80,83,-83.0,116.0,-83.0,168
37,LLM022,-71,-67,-53.0,-61.0,-53.0,165
38,LLM022,-51,66,-70.0,69.0,-70.0,52
39,LLM022,114,117,-177.0,-134.0,-177.0,106
40,LLM022,143,129,-157.0,-141.0,-159.0,56
41,LLM022,150,131,-169.0,-136.0,-169.0,29
42,LLM022,-77,64,-59.0,49.0,-213.0,129
43,LLM022,-211,103,-153.0,153.0,-153.0,42
44,LLM022,-86,80,-90.0,116.0,-90.0,44
45,LLM022,230,163,-136.0,-223.0,-136.0,0
46,LLM022,200,173,-146.0,-160.0,-146.0,133
47,LLM022,221,140,-97.0,-233.0,-97.0,112
48,LLM022,-110,104,-126.0,137.0,-126.0,169
49,LLM022,-120,116,-136.0,127.0,-129.0,96
50,LLM022,-54,63,-44.0,-46.0,-44.0,99
51,LLM022,201,131,-114.0,-113.0,-114.0,100
52,LLM022,124,-140,-126.0,-116.0,-126.0,89
53,LLM022,-134,117,-124.0,131.0,-124.0,98
54,LLM022,-59,56,-61.0,-64.0,-61.0,74
55,LLM022,80,84,-96.0,-113.0,-96.0,108
56,LLM022,109,121,-116.0,-114.0,-116.0,102
57,LLM022,87,-164,-114.0,-100.0,-114.0,80
58,LLM022,-124,119,-211.0,54.0,-169.0,144
59,LLM022,-31,63,-44.0,-54.0,-44.0,19
60,LLM022,177,160,-120.0,-131.0,71.0,179
61,LLM022,66,-73,-77.0,-90.0,-77.0,82
62,LLM022,-44,40,-39.0,41.0,-39.0,38
63,LLM022,176,151,-113.0,-121.0,-113.0,4
64,LLM022,54,-56,-60.0,-50.0,-60.0,63
65,LLM022,129,123,-119.0,-136.0,-119.0,26
66,LLM022,180,181,-171.0,-159.0,94.0,7
67,LLM022,-84,97,-114.0,-141.0,-114.0,141
68,LLM022,111,109,-96.0,-90.0,-96.0,107
69,LLM022,119,117,-136.0,-124.0,-136.0,109
70,LLM022,177,-174,-179.0,-161.0,-179.0,137
71,LLM022,187,190,-214.0,-131.0,-214.0,8
72,LLM022,-23,29,-24.0,-23.0,-86.0,64
73,LLM022,67,71,-87.0,-69.0,-87.0,114
74,LLM022,116,100,-94.0,-101.0,-94.0,170
75,LLM022,66,-60,-94.0,-84.0,-94.0,13
76,LLM022,-109,110,-133.0,139.0,-133.0,36
77,LLM022,-50,57,-61.0,61.0,-61.0,94
78,LLM022,-107,94,-129.0,109.0,-129.0,121
79,LLM022,-109,119,-151.0,133.0,0.0,120
80,LLM022,-196,116,-126.0,224.0,-126.0,150
81,LLM022,-200,173,-189.0,191.0,-189.0,47
82,LLM022,-179,177,-189.0,191.0,-189.0,152
83,LLM022,149,137,-127.0,-129.0,-127.0,1
84,LLM022,-77,89,-80.0,97.0,-153.0,18
85,LLM022,53,47,-44.0,-49.0,-44.0,30
86,LLM022,-44,43,-37.0,-46.0,-37.0,14
87,LLM022,-159,147,-146.0,144.0,-146.0,146
88,LLM022,-90,91,-111.0,91.0,-111.0,61
89,LLM022,117,-129,-133.0,-114.0,-86.0,81
90,LLM022,-51,-44,-93.0,79.0,-93.0,153
91,LLM022,-119,119,-147.0,131.0,-147.0,78
92,LLM022,-120,123,-146.0,136.0,-150.0,164
93,LLM022,153,139,-144.0,-127.0,-144.0,104
94,LLM022,-141,141,-134.0,136.0,-134.0,122
95,LLM022,177,149,-123.0,-137.0,-123.0,23
96,LLM022,-73,66,-127.0,120.0,-21.0,45
97,LLM022,-46,44,-60.0,73.0,-60.0,71
98,LLM022,-139,137,-169.0,104.0,63.0,166
99,LLM022,-159,154,-183.0,203.0,-119.0,126
100,LLM022,209,201,-209.0,-194.0,-209.0,2
101,LLM022,60,100,-119.0,131.0,-119.0,160
102,LLM022,-43,46,-49.0,56.0,-49.0,69
103,LLM022,123,123,-136.0,-137.0,-136.0,55
104,LLM022,-39,27,-40.0,43.0,-40.0,66
105,LLM022,89,91,-106.0,110.0,-123.0,25
106,LLM022,-164,160,-183.0,146.0,-183.0,124
107,LLM022,-229,230,-213.0,226.0,-213.0,37
108,LLM022,226,229,-187.0,-179.0,-187.0,174
109,LLM022,-121,119,-129.0,121.0,-129.0,162
110,LLM022,120,-134,-146.0,-144.0,-146.0,132
111,LLM022,173,154,-169.0,-134.0,-169.0,28
112,LLM022,164,-176,-124.0,-126.0,-124.0,85
113,LLM022,173,187,-141.0,-129.0,-141.0,119
114,LLM022,-51,74,-163.0,160.0,-91.0,65
115,LLM022,140,-153,-124.0,-127.0,-124.0,84
116,LLM022,164,171,-141.0,-139.0,-141.0,172
117,LLM022,-117,114,-121.0,120.0,-121.0,39
118,LLM022,-77,79,-90.0,101.0,-90.0,46
119,LLM022,-184,177,-166.0,153.0,7.0,92
120,LLM022,-133,129,-126.0,-121.0,-126.0,91
121,LLM022,159,126,-161.0,-140.0,-161.0,178
122,LLM022,119,131,-139.0,-146.0,-139.0,50
123,LLM022,154,136,-151.0,-149.0,110.0,21
124,LLM022,-31,34,-134.0,131.0,-134.0,154
125,LLM022,100,-123,-117.0,-137.0,-117.0,134
126,LLM022,169,123,-151.0,-150.0,-151.0,176
127,LLM022,-120,116,-96.0,110.0,-96.0,76
128,LLM022,150,124,-136.0,-126.0,121.0,22
129,LLM022,156,126,-151.0,-131.0,-151.0,177
130,LLM022,130,121,-141.0,-127.0,-141.0,138
131,LLM022,153,-161,-161.0,-171.0,-53.0,130
132,LLM022,-163,150,-174.0,171.0,-174.0,142
133,LLM022,87,84,-91.0,-104.0,-91.0,95
134,LLM022,-114,-84,-76.0,-80.0,-76.0,41
135,LLM022,-104,110,-101.0,97.0,-101.0,157
136,LLM022,-79,-61,-71.0,-70.0,0.0,17
137,LLM022,-33,40,-121.0,-117.0,-84.0,68
138,LLM022,-200,189,-184.0,186.0,-184.0,125
139,LLM022,-114,126,-123.0,-123.0,-123.0,73
140,LLM022,-76,79,-89.0,69.0,-240.0,35
141,LLM022,-26,29,-30.0,29.0,-30.0,67
142,LLM022,-69,66,-60.0,70.0,109.0,163
143,LLM022,-149,153,-124.0,-126.0,-124.0,93
144,LLM022,196,186,-194.0,-201.0,-194.0,175
145,LLM022,180,183,-137.0,-144.0,-137.0,6
146,LLM022,214,154,-134.0,-226.0,-134.0,136
147,LLM022,221,210,-123.0,-213.0,-123.0,118
148,LLM022,-94,91,-150.0,117.0,-150.0,128
149,LLM022,-66,74,-107.0,99.0,91.0,167
150,LLM022,-177,164,-149.0,-124.0,0.0,158
151,LLM022,183,173,-147.0,-164.0,-147.0,113
152,LLM022,-134,117,-107.0,-143.0,-107.0,147
153,LLM022,-114,119,-137.0,139.0,-137.0,40
154,LLM022,137,-144,-131.0,-146.0,-131.0,83
155,LLM022,127,124,-123.0,-140.0,-123.0,57
156,LLM022,-30,39,-44.0,-44.0,-44.0,60
157,LLM022,190,197,-180.0,-171.0,-180.0,116
158,LLM022,-149,139,-221.0,-47.0,-221.0,70
159,LLM022,189,160,-79.0,-190.0,-79.0,53
160,LLM022,180,141,-139.0,-130.0,-139.0,5
161,LLM022,149,156,-147.0,-150.0,123.0,171
162,LLM022,-121,110,-134.0,140.0,-134.0,79
163,LLM022,-134,113,-136.0,147.0,-136.0,143
164,LLM022,163,141,-120.0,-127.0,-120.0,111
165,LLM022,80,-186,-133.0,-116.0,-133.0,87
166,LLM022,157,171,-77.0,-223.0,-77.0,24
167,LLM022,60,-69,-69.0,-57.0,-69.0,49
168,LLM022,-127,120,-107.0,-147.0,-107.0,90
169,LLM022,-69,81,-83.0,87.0,-83.0,32
170,LLM022,87,99,-87.0,-89.0,-87.0,3
171,LLM022,161,163,-194.0,-156.0,-194.0,131
172,LLM022,-189,166,-130.0,-117.0,-130.0,33
173,LLM022,-193,151,-199.0,77.0,-199.0,151
174,LLM022,134,166,-120.0,-123.0,-120.0,58
175,LLM022,-120,113,-126.0,121.0,-126.0,31
